Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
RavMarina,Italy,RavM2,2021-04-22,2021-07-26,ARMS_RavMarina_RavM2_20210422_20210726,0,0,0,0,2021-04-22 13:09:05.357059+00:00,2021-06-28 20:52:17.652878+00:00
RavMarina,Italy,RavM3,2021-04-22,2021-07-26,ARMS_RavMarina_RavM3_20210422_20210726,0,0,0,0,2021-04-22 13:10:06.265009+00:00,2021-06-28 20:52:41.497552+00:00
RavMarina,Italy,RavM1,2021-04-22,2021-07-26,ARMS_RavMarina_RavM1_20210422_20210726,0,0,0,2,2021-04-22 13:08:03.425273+00:00,2021-08-03 12:50:59.103692+00:00
