Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Gdynia,Poland,GDY1,2019-06-19,2019-10-29,ARMS_Gdynia_GDY1_20190619_20191029,0,0,0,154,2019-12-05 13:24:02.938238+00:00,2019-12-09 13:21:22.882230+00:00
Gdynia,Poland,GDY1,2020-06-10,2021-09,ARMS_Gdynia_GDY1_20200610_00000000,0,0,0,0,2020-11-06 19:12:19.371356+00:00,2020-11-06 19:12:19.585417+00:00
Gdynia,Poland,GDY1,2018-08-13,2019-10-29,ARMS_Gdynia_GDY1_20180813_20191029,0,0,0,118,2019-11-11 17:09:04.987085+00:00,2021-12-09 14:15:54.521665+00:00
