Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
RavHabour,Italy,RavH1,2021-04-22,2021-07-26,ARMS_RavHabour_RavH1_20210422_20210726,0,0,0,2,2021-04-22 13:18:05.201654+00:00,2021-08-03 12:33:06.675107+00:00
RavHabour,Italy,RavH2,2021-04-22,2021-07-26,ARMS_RavHabour_RavH2_20210422_20210726,0,0,0,0,2021-04-22 13:17:08.316493+00:00,2021-07-14 10:35:49.926876+00:00
RavHabour,Italy,RavH3,2021-04-22,2021-07-26,ARMS_RavHabour_RavH3_20210422_20210726,0,0,0,0,2021-04-22 13:15:45.417401+00:00,2021-06-28 20:51:25.199838+00:00
