Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Galway,Ireland,Gurr3,2020-07-23,2021-07-08,ARMS_Galway_Gurr3_20200723_20210708,0,0,0,21,2020-05-13 19:14:19.657533+00:00,2021-08-18 11:25:53.702920+00:00
Galway,Ireland,Gurr3,2021-07-20,2022-07,ARMS_Galway_Gurr3_20210720_00000000,0,0,0,0,2021-08-18 11:10:42.234965+00:00,2021-08-18 11:26:27.505915+00:00
Galway,Ireland,Gurr2,2020-07-21,2021-07-07,ARMS_Galway_Gurr2_20200721_20210707,0,0,0,21,2020-05-13 19:13:34.067122+00:00,2021-08-18 11:24:31.251442+00:00
Galway,Ireland,Gurr2,2021-07-20,2022-07,ARMS_Galway_Gurr2_20210720_00000000,0,0,0,0,2021-08-18 11:06:25.356816+00:00,2021-08-18 11:25:04.520984+00:00
Galway,Ireland,Gurr1,2020-07-21,2021-07-08,ARMS_Galway_Gurr1_20200721_20210708,0,0,0,21,2020-05-13 18:44:07.364382+00:00,2021-08-18 11:23:49.346314+00:00
Galway,Ireland,Gurr1,2021-07-20,2022-07,ARMS_Galway_Gurr1_20210720_00000000,0,0,0,0,2021-08-18 10:59:12.339779+00:00,2021-08-18 11:18:37.015123+00:00
Galway,Ireland,Gurr4,2020-07-23,2020-10,ARMS_Galway_Gurr4_20200723_00000000,0,0,0,0,2020-09-14 12:54:28.057112+00:00,2020-09-14 13:04:39.140666+00:00
