Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,3,0,1329,117,2019-09-08 06:07:18.842127+00:00,2020-05-25 13:00:56.694855+00:00
Koster,Sweden,VH1,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608,0,0,0,19,2020-12-17 21:43:42.649404+00:00,2021-06-09 08:38:50.070779+00:00
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,3,11,580,36,2019-09-08 06:08:06.727959+00:00,2021-12-09 13:33:14.757759+00:00
Koster,Sweden,VH3,2018-04-18,2019-05-27,ARMS_Koster_VH3_20180418_20190527,2,0,494,109,2019-09-08 06:01:15.734246+00:00,2020-05-25 13:01:10.097869+00:00
Koster,Sweden,VH3,2020-07-16,2021-06-08,ARMS_Koster_VH3_20200716_20210608,0,0,0,24,2020-12-17 22:27:25.377627+00:00,2021-06-09 08:40:46.442938+00:00
Koster,Sweden,VH3,2019-05-27,2020-07-16,ARMS_Koster_VH3_20190527_20200716,3,0,398,31,2019-09-08 06:01:42.410746+00:00,2020-12-18 10:27:44.642839+00:00
Koster,Sweden,VH2,2019-05-27,2020-07-16,ARMS_Koster_VH2_20190527_20200716,3,0,651,27,2019-09-06 20:28:15.996768+00:00,2020-12-18 10:27:24.875785+00:00
Koster,Sweden,VH2,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906,5,0,510,76,2019-09-03 10:20:29.758439+00:00,2021-04-30 23:39:53.062975+00:00
Koster,Sweden,VH2,2020-07-16,2021-06-08,ARMS_Koster_VH2_20200716_20210608,0,0,0,23,2020-12-17 22:10:08.967809+00:00,2021-11-17 14:52:08.937599+00:00
