Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,0,0,0,26,2020-07-13 06:09:39.335217+00:00,2020-10-12 17:01:16.262739+00:00
Vigo,Spain,TorallaA,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,0,0,0,25,2019-11-11 13:31:57.866519+00:00,2022-01-24 16:46:36.806088+00:00
Vigo,Spain,TorallaA,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,0,0,0,21,2019-11-11 13:45:27.557124+00:00,2022-01-24 16:53:36.825468+00:00
Vigo,Spain,TorallaB,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,0,0,0,18,2020-07-13 06:12:28.207007+00:00,2020-10-12 17:02:57.063077+00:00
Vigo,Spain,TorallaB,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,0,0,0,18,2019-11-11 13:51:48.708239+00:00,2022-01-24 17:00:34.897800+00:00
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,0,0,0,18,2020-07-13 06:13:27.719940+00:00,2020-12-15 12:56:43.334062+00:00
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,0,0,0,18,2019-11-11 13:52:36.814327+00:00,2022-01-24 17:07:05.820964+00:00
