Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Gulf_of_FInland_TZS,Finland,Spikarna,2020-06-08,2020-11-18,ARMS_Gulf_of_FInland_TZS_Spikarna_20200608_20201118,0,0,0,114,2020-11-27 07:22:59.978017+00:00,2021-01-13 13:51:07.814600+00:00
Gulf_of_FInland_TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_Gulf_of_FInland_TZS_Spikarna_20180711_20181107,0,0,0,111,2019-11-11 14:09:44.182609+00:00,2020-12-19 19:56:35.407379+00:00
Gulf_of_FInland_TZS,Finland,Angbat,2020-06-08,2020-11-17,ARMS_Gulf_of_FInland_TZS_Angbat_20200608_20201117,0,0,0,109,2020-11-27 07:21:55.898532+00:00,2021-01-13 13:41:17.807523+00:00
Gulf_of_FInland_TZS,Finland,Angbat,2018-07-11,2018-11-06,ARMS_Gulf_of_FInland_TZS_Angbat_20180711_20181106,0,0,0,105,2019-11-11 14:11:05.199170+00:00,2020-12-19 19:55:28.355313+00:00
Gulf_of_FInland_TZS,Finland,Kummelkobben,2020-06-08,2020-11-20,ARMS_Gulf_of_FInland_TZS_Kummelkobben_20200608_20201120,0,0,0,107,2020-11-30 09:30:58.146143+00:00,2022-01-24 17:36:38.179795+00:00
