Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,0,0,0,121,2019-11-11 22:50:09.684490+00:00,2020-12-18 20:48:01.486372+00:00
Getxo,Spain,G2,2020-06-24,2020-11-03,ARMS_Getxo_G2_20200624_20201103,0,0,0,231,2020-09-16 10:19:01.444333+00:00,2020-12-29 09:10:23.047649+00:00
Getxo,Spain,G1,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016,0,0,0,134,2019-11-11 22:48:16.636072+00:00,2020-12-18 20:47:26.317158+00:00
Getxo,Spain,G1,2020-06-24,2020-11-03,ARMS_Getxo_G1_20200624_20201103,0,0,0,236,2020-09-16 10:15:07.120078+00:00,2020-12-29 09:09:06.833033+00:00
Getxo,Spain,G3,2019-06-24,2019-10-16,ARMS_Getxo_G3_20190624_20191016,0,0,0,222,2019-11-11 23:04:00.481637+00:00,2020-12-18 20:48:41.219508+00:00
Getxo,Spain,G3,2020-06-24,2020-11-03,ARMS_Getxo_G3_20200624_20201103,0,0,0,255,2020-09-16 10:20:38.041221+00:00,2020-12-29 09:11:18.152237+00:00
