Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Daneborg,Greenland,2,2020-07-22,2021-08,ARMS_Daneborg_2_20200722_00000000,0,0,0,0,2019-11-25 07:38:02.829005+00:00,2021-11-08 08:31:25.190209+00:00
Daneborg,Greenland,3,2020-07-22,2022-08,ARMS_Daneborg_3_20200722_00000000,0,0,0,0,2019-11-25 07:39:02.684832+00:00,2021-11-08 08:31:59.126297+00:00
Daneborg,Greenland,1,2020-07-22,2022-08,ARMS_Daneborg_1_20200722_00000000,0,0,0,0,2019-11-25 07:37:00.501680+00:00,2021-11-08 08:30:01.886937+00:00
