Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,3,0,0,21,2020-12-18 20:42:35.871128+00:00,2021-06-28 05:07:10.428382+00:00
Bodo,Norway,GStraB,2021-06-17,,ARMS_Bodo_GStraB_00000000_00000000,0,0,0,0,2019-11-14 14:53:16.922733+00:00,2021-06-25 12:45:09.804962+00:00
Bodo,Norway,GStraM,2021-06-17,,ARMS_Bodo_GStraM_00000000_00000000,0,0,0,0,2019-11-14 14:50:41.004214+00:00,2021-06-25 12:46:42.980039+00:00
Bodo,Norway,GStraM,2019-06-21,2020-12-07,ARMS_Bodo_GStraM_20190621_20201207,3,0,0,21,2020-12-18 20:41:44.526966+00:00,2021-06-28 05:08:35.665611+00:00
