Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Plymouth,United Kingdom,MBA2,2018-07-01,2018-10-01,ARMS_Plymouth_MBA2_20180701_20181001,0,0,0,27,2019-11-05 12:32:33.975595+00:00,2022-01-24 16:06:57.351640+00:00
Plymouth,United Kingdom,MBA1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001,0,0,0,24,2019-11-05 12:37:00.750538+00:00,2022-01-24 16:14:47.519144+00:00
Plymouth,United Kingdom,MBA1A,2020-07-17,2020-09-21,ARMS_Plymouth_MBA1A_20200717_20200921,0,0,0,17,2020-09-15 12:04:09.005509+00:00,2020-12-16 10:56:19.524160+00:00
Plymouth,United Kingdom,MBA1A,2019-07-16,2019-09-16,ARMS_Plymouth_MBA1A_20190716_20190916,0,0,0,21,2019-11-22 11:08:55.471768+00:00,2022-01-24 15:58:55.322251+00:00
Plymouth,United Kingdom,MBA1B,2019-07-16,2019-09-18,ARMS_Plymouth_MBA1B_20190716_20190918,0,0,0,25,2019-11-22 11:10:26.072197+00:00,2022-01-24 15:52:14.465953+00:00
Plymouth,United Kingdom,MBA1B,2020-07-17,2020-09-22,ARMS_Plymouth_MBA1B_20200717_20200922,0,0,0,18,2020-09-15 12:14:26.794693+00:00,2020-12-16 11:55:20.126430+00:00
Plymouth,United Kingdom,MBA1C,2020-07-17,2020-09-23,ARMS_Plymouth_MBA1C_20200717_20200923,0,0,0,18,2020-09-15 12:18:22.100713+00:00,2020-12-16 13:04:41.735490+00:00
Plymouth,United Kingdom,MBA1C,2019-07-16,2019-09-20,ARMS_Plymouth_MBA1C_20190716_20190920,0,0,0,24,2019-11-22 11:11:31.958263+00:00,2022-01-24 15:44:17.417715+00:00
