Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,0,0,0,194,2019-11-11 16:55:52.757700+00:00,2021-11-26 16:51:39.509963+00:00
Svalbard,Norway,S2,2019-08-05,2020-08-01,ARMS_Svalbard_S2_20190805_20200801,0,0,0,294,2019-11-11 16:59:47.339295+00:00,2021-12-02 12:48:46.198515+00:00
Svalbard,Norway,S1,2020-08-05,2021-08,ARMS_Svalbard_S1_20200805_00000000,0,0,0,0,2020-12-16 22:24:16.274680+00:00,2020-12-16 22:25:05.637797+00:00
Svalbard,Norway,S1,2019-08-06,2020-08-04,ARMS_Svalbard_S1_20190806_20200804,0,0,0,321,2019-11-11 16:58:16.573486+00:00,2021-12-06 12:08:29.255304+00:00
Svalbard,Norway,S1,2018-07-06,2019-08-06,ARMS_Svalbard_S1_20180706_20190806,0,0,0,197,2019-11-11 16:54:02.274317+00:00,2021-11-26 16:52:27.003910+00:00
Svalbard,Norway,S1A,2020-08-04,2022-08,ARMS_Svalbard_S1A_20200804_00000000,0,0,0,0,2020-09-12 13:55:54.618637+00:00,2021-12-17 15:19:57.167174+00:00
Svalbard,Norway,S1B,2020-08-04,2022-08,ARMS_Svalbard_S1B_20200804_00000000,0,0,0,0,2020-09-12 13:56:58.978962+00:00,2021-12-17 15:20:43.868073+00:00
Svalbard,Norway,S1C,2020-08-04,2022-08,ARMS_Svalbard_S1C_20200804_00000000,0,0,0,0,2020-09-12 13:57:54.624651+00:00,2021-12-17 15:19:25.714815+00:00
