Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Laeso,Denmark,3,2019-08-19,2020-08-11,ARMS_Laeso_3_20190819_20200811,0,0,0,21,2019-11-11 22:24:15.879744+00:00,2020-09-02 13:12:31.971743+00:00
Laeso,Denmark,3,2020-08-11,2021-08,ARMS_Laeso_3_20200811_00000000,0,0,0,0,2020-09-01 12:51:42.198999+00:00,2020-09-01 12:51:42.316914+00:00
Laeso,Denmark,1,2019-08-19,2020-08-11,ARMS_Laeso_1_20190819_20200811,0,0,0,27,2019-11-11 22:23:02.772975+00:00,2020-09-18 09:31:19.179515+00:00
Laeso,Denmark,1,2020-08-11,2021-08,ARMS_Laeso_1_20200811_00000000,0,0,0,0,2020-09-01 12:41:48.063233+00:00,2020-09-01 12:43:08.587582+00:00
Laeso,Denmark,2,2020-08-11,2021-08,ARMS_Laeso_2_20200811_00000000,0,0,0,0,2020-09-01 12:46:08.689248+00:00,2020-09-01 12:55:24.562048+00:00
Laeso,Denmark,2,2019-08-19,2020-08-11,ARMS_Laeso_2_20190819_20200811,0,0,0,21,2020-04-29 07:35:09.156799+00:00,2020-09-02 13:12:10.221979+00:00
