Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Nuuk,Greenland,1,2020-08-01,2022-08,ARMS_Nuuk_1_20200801_00000000,0,0,0,0,2019-11-25 07:25:09.865719+00:00,2021-11-08 08:32:58.228249+00:00
Nuuk,Greenland,2,2020-08-01,2022-08,ARMS_Nuuk_2_20200801_00000000,0,0,0,0,2019-11-25 07:27:57.949964+00:00,2021-11-08 08:33:25.191354+00:00
Nuuk,Greenland,3,2020-08-01,2022-08,ARMS_Nuuk_3_20200801_00000000,0,0,0,0,2019-11-25 07:28:46.980306+00:00,2021-11-08 08:34:47.658735+00:00
