Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Rothera,Antarctica,SouthCove1,2019-08-29,2021-01,ARMS_Rothera_SouthCove1_20190829_00000000,0,0,0,0,2019-11-11 12:53:44.346193+00:00,2020-04-27 08:57:16.541855+00:00
Rothera,Antarctica,HangarCove2,2019-07-08,2021-01,ARMS_Rothera_HangarCove2_20190708_00000000,0,0,0,0,2019-11-11 11:55:52.360593+00:00,2020-04-27 08:52:42.919401+00:00
Rothera,Antarctica,HangarCove1,2019-07-08,2021-01,ARMS_Rothera_HangarCove1_20190708_00000000,0,0,0,5,2019-11-11 11:10:25.946894+00:00,2020-04-27 08:53:09.346463+00:00
Rothera,Antarctica,Cheshire1,2019-12-10,2021-01,ARMS_Rothera_Cheshire1_20191210_00000000,0,0,0,0,2019-11-11 12:54:25.536965+00:00,2020-04-27 08:59:34.634192+00:00
Rothera,Antarctica,HangarCove3,2019-07-08,2021-01,ARMS_Rothera_HangarCove3_20190708_00000000,0,0,0,0,2019-11-11 12:52:54.570173+00:00,2020-04-27 08:58:16.257664+00:00
